UTC TIME,ACP SAMPLING TIME,MINUS15VOLT,15VOLT,5VOLT,RCAL,R0,TCGND,VREF1,VREF2,VREF3
2005-01-14T09:11:22:425,59.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:22:675,60,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:22:925,60.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:23:175,60.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:23:425,60.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:23:675,61,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:23:925,61.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:24:175,61.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:24:425,61.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:24:675,62,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:24:925,62.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:25:175,62.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:25:425,62.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:25:675,63,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:25:925,63.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:26:175,63.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:26:425,63.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:26:675,64,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:26:925,64.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:27:175,64.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:27:425,64.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:27:675,65,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:27:925,65.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:28:175,65.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:28:425,65.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:28:675,66,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:28:925,66.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:29:175,66.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:29:425,66.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:29:675,67,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:29:925,67.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:30:175,67.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:30:425,67.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:30:675,68,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:30:925,68.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:31:175,68.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:31:425,68.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:31:675,69,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:31:925,69.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:32:175,69.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:32:425,69.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:32:675,70,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:32:925,70.25,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:33:175,70.5,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:33:425,70.75,0,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:33:675,71,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:33:925,71.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:34:175,71.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:34:425,71.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:34:675,72,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:34:925,72.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:35:175,72.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:35:425,72.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:35:675,73,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:35:925,73.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:36:175,73.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:36:425,73.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:36:675,74,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:36:925,74.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:37:175,74.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:37:425,74.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:37:675,75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:37:925,75.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:38:175,75.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:38:425,75.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:38:675,76,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:38:925,76.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:39:175,76.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:39:425,76.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:39:675,77,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:39:925,77.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:40:175,77.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:40:425,77.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:40:675,78,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:40:925,78.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:41:175,78.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:41:425,78.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:41:675,79,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:41:925,79.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:42:175,79.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:42:425,79.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:42:675,80,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:42:925,80.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:43:175,80.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:43:425,80.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:43:675,81,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:43:925,81.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:44:175,81.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:44:425,81.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:44:675,82,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:44:925,82.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:45:175,82.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:45:425,82.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:45:675,83,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:45:925,83.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:46:175,83.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:46:425,83.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:46:675,84,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:46:925,84.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:47:175,84.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:47:425,84.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:47:675,85,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:47:925,85.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:48:175,85.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:48:425,85.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:48:675,86,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:48:925,86.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:49:175,86.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:49:425,86.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:49:675,87,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:49:925,87.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:50:175,87.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:50:425,87.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:50:675,88,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:50:925,88.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:51:175,88.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:51:425,88.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:51:675,89,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:51:925,89.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:52:175,89.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:52:425,89.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:52:675,90,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:52:925,90.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:53:175,90.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:53:425,90.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:53:675,91,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:53:925,91.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:54:175,91.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:54:425,91.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:54:675,92,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:54:925,92.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:55:175,92.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:55:425,92.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:55:675,93,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:55:925,93.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:56:175,93.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:56:425,93.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:56:675,94,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:56:925,94.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:57:175,94.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:57:425,94.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:57:675,95,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:57:925,95.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:58:175,95.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:58:425,95.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:58:675,96,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:58:925,96.25,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:59:175,96.5,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
2005-01-14T09:11:59:425,96.75,-14.918,14.473,2.5,2.969,-2.031,3.945,-1.211,-1.211,-2.5
