EARTH RECEIVED TIME (UTC),SKY FREQUENCY (HZ)
2005-01-14T12:58:51.500,2040010144
2005-01-14T12:58:56.500,2040010142
2005-01-14T12:59:01.500,2040010140
2005-01-14T12:59:11.500,2040010136
2005-01-14T12:59:16.500,2040010135
2005-01-14T12:59:26.500,2040010131
2005-01-14T12:59:31.500,2040010129
2005-01-14T12:59:36.500,2040010127
2005-01-14T12:59:41.500,2040010125
2005-01-14T12:59:46.500,2040010124
2005-01-14T12:59:51.500,2040010122
2005-01-14T12:59:56.500,2040010120
2005-01-14T13:00:01.500,2040010118
2005-01-14T13:00:06.500,2040010116
2005-01-14T13:01:21.500,2040010088
2005-01-14T13:01:26.500,2040010087
2005-01-14T13:01:31.500,2040010085
2005-01-14T13:01:36.500,2040010083
2005-01-14T13:01:41.500,2040010081
2005-01-14T13:01:51.500,2040010077
2005-01-14T13:01:56.500,2040010075
2005-01-14T13:02:01.500,2040010074
2005-01-14T13:02:06.500,2040010072
2005-01-14T13:02:11.500,2040010070
2005-01-14T13:02:16.500,2040010068
2005-01-14T13:02:21.500,2040010066
2005-01-14T13:02:26.500,2040010064
2005-01-14T13:02:46.500,2040010057
2005-01-14T13:05:41.500,2040009992
2005-01-14T13:07:21.500,2040009955
2005-01-14T13:07:26.500,2040009953
2005-01-14T13:07:31.500,2040009951
2005-01-14T13:07:36.500,2040009949
2005-01-14T13:07:41.500,2040009947
2005-01-14T13:07:46.500,2040009946
2005-01-14T13:07:51.500,2040009944
2005-01-14T13:07:56.500,2040009942
2005-01-14T13:08:01.500,2040009940
2005-01-14T13:08:06.500,2040009938
2005-01-14T13:08:11.500,2040009936
2005-01-14T13:08:16.500,2040009934
2005-01-14T13:08:21.500,2040009932
2005-01-14T13:08:26.500,2040009931
2005-01-14T13:08:31.500,2040009929
2005-01-14T13:08:36.500,2040009927
2005-01-14T13:08:41.500,2040009925
2005-01-14T13:08:46.500,2040009923
2005-01-14T13:08:51.500,2040009921
2005-01-14T13:08:56.500,2040009919
2005-01-14T13:10:21.500,2040009888
2005-01-14T13:10:26.500,2040009886
2005-01-14T13:10:31.500,2040009884
2005-01-14T13:10:36.500,2040009882
2005-01-14T13:10:41.500,2040009880
2005-01-14T13:10:46.500,2040009878
2005-01-14T13:10:51.500,2040009877
2005-01-14T13:10:56.500,2040009875
2005-01-14T13:11:01.500,2040009873
2005-01-14T13:11:06.500,2040009871
2005-01-14T13:11:11.500,2040009869
2005-01-14T13:11:16.500,2040009867
2005-01-14T13:11:31.500,2040009862
2005-01-14T13:11:36.500,2040009860
2005-01-14T13:11:41.500,2040009858
2005-01-14T13:11:46.500,2040009856
2005-01-14T13:11:51.500,2040009854
2005-01-14T13:11:56.500,2040009852
2005-01-14T13:12:01.500,2040009850
2005-01-14T13:14:01.500,2040009806
2005-01-14T13:14:06.500,2040009804
2005-01-14T13:14:11.500,2040009802
2005-01-14T13:14:16.500,2040009800
2005-01-14T13:14:21.500,2040009798
2005-01-14T13:16:21.500,2040009753
2005-01-14T13:16:26.500,2040009752
2005-01-14T13:16:31.500,2040009750
2005-01-14T13:16:36.500,2040009748
2005-01-14T13:16:41.500,2040009746
2005-01-14T13:16:46.500,2040009744
2005-01-14T13:16:51.500,2040009742
2005-01-14T13:16:56.500,2040009740
2005-01-14T13:17:01.500,2040009739
2005-01-14T13:17:06.500,2040009737
2005-01-14T13:17:11.500,2040009735
2005-01-14T13:17:16.500,2040009733
2005-01-14T13:17:21.500,2040009731
2005-01-14T13:17:26.500,2040009729
2005-01-14T13:17:31.500,2040009727
2005-01-14T13:17:36.500,2040009726
2005-01-14T13:17:41.500,2040009723
2005-01-14T13:17:46.500,2040009722
2005-01-14T13:17:51.500,2040009720
2005-01-14T13:17:56.500,2040009718
2005-01-14T13:21:01.500,2040009649
2005-01-14T13:22:21.500,2040009619
2005-01-14T13:22:26.500,2040009617
2005-01-14T13:22:36.500,2040009613
2005-01-14T13:22:41.500,2040009611
2005-01-14T13:22:46.500,2040009609
2005-01-14T13:22:51.500,2040009607
2005-01-14T13:22:56.500,2040009605
2005-01-14T13:23:01.500,2040009604
2005-01-14T13:23:06.500,2040009602
2005-01-14T13:23:11.500,2040009600
2005-01-14T13:23:16.500,2040009598
2005-01-14T13:23:21.500,2040009596
2005-01-14T13:23:26.500,2040009594
2005-01-14T13:23:31.500,2040009593
2005-01-14T13:23:36.500,2040009590
2005-01-14T13:23:41.500,2040009589
2005-01-14T13:23:46.500,2040009587
2005-01-14T13:23:51.500,2040009585
2005-01-14T13:24:01.500,2040009581
2005-01-14T13:24:06.500,2040009579
2005-01-14T13:25:31.500,2040009547
2005-01-14T13:25:36.500,2040009545
2005-01-14T13:25:41.500,2040009544
2005-01-14T13:25:46.500,2040009542
2005-01-14T13:25:51.500,2040009540
2005-01-14T13:25:56.500,2040009538
2005-01-14T13:26:01.500,2040009536
2005-01-14T13:26:06.500,2040009534
2005-01-14T13:26:11.500,2040009532
2005-01-14T13:26:16.500,2040009530
2005-01-14T13:26:21.500,2040009528
2005-01-14T13:26:26.500,2040009527
2005-01-14T13:26:31.500,2040009525
2005-01-14T13:26:36.500,2040009523
2005-01-14T13:26:41.500,2040009521
2005-01-14T13:26:46.500,2040009519
2005-01-14T13:28:21.500,2040009483
2005-01-14T13:28:31.500,2040009480
2005-01-14T13:28:36.500,2040009478
2005-01-14T13:28:41.500,2040009476
2005-01-14T13:28:46.500,2040009474
2005-01-14T13:28:51.500,2040009472
2005-01-14T13:28:56.500,2040009470
2005-01-14T13:29:01.500,2040009468
2005-01-14T13:29:06.500,2040009466
2005-01-14T13:29:11.500,2040009465
2005-01-14T13:29:16.500,2040009463
2005-01-14T13:29:26.500,2040009459
2005-01-14T13:29:31.500,2040009457
2005-01-14T13:29:36.500,2040009455
2005-01-14T13:29:41.500,2040009453
2005-01-14T13:29:46.500,2040009451
2005-01-14T13:29:51.500,2040009449
2005-01-14T13:31:36.500,2040009410
2005-01-14T13:31:46.500,2040009406
2005-01-14T13:31:51.500,2040009404
2005-01-14T13:32:01.500,2040009401
2005-01-14T13:32:06.500,2040009399
2005-01-14T13:32:11.500,2040009397
2005-01-14T13:32:16.500,2040009395
2005-01-14T13:32:21.500,2040009393
2005-01-14T13:32:26.500,2040009391
2005-01-14T13:32:31.500,2040009389
2005-01-14T13:32:36.500,2040009387
2005-01-14T13:32:41.500,2040009385
2005-01-14T13:32:46.500,2040009384
2005-01-14T13:32:51.500,2040009382
2005-01-14T13:32:56.500,2040009380
2005-01-14T13:33:01.500,2040009378
2005-01-14T13:34:46.500,2040009338
2005-01-14T13:34:51.500,2040009336
2005-01-14T13:34:56.500,2040009334
2005-01-14T13:35:01.500,2040009333
2005-01-14T13:35:06.500,2040009331
2005-01-14T13:35:11.500,2040009329
2005-01-14T13:35:16.500,2040009327
2005-01-14T13:35:21.500,2040009325
