UTC TIME,ACP SAMPLING TIME,PTPM-PUMP MOTOR TEMPERATURE,PUMP SPEED,PUMP CURRENT
2005-01-14T09:11:45:925,83.25,10.042,0,0
2005-01-14T09:11:46:175,83.5,10.042,0,0
2005-01-14T09:11:46:425,83.75,10.042,0,0
2005-01-14T09:11:46:675,84,10.042,0,0
2005-01-14T09:11:46:925,84.25,10.042,0,0
2005-01-14T09:11:47:175,84.5,10.042,0,0
2005-01-14T09:11:47:425,84.75,10.042,0,0
2005-01-14T09:11:47:675,85,10.042,0,0
2005-01-14T09:11:47:925,85.25,10.042,0,0
2005-01-14T09:11:48:175,85.5,10.042,0,0
2005-01-14T09:11:48:425,85.75,10.042,0,0
2005-01-14T09:11:48:675,86,10.042,0,0
2005-01-14T09:11:48:925,86.25,10.042,0,0
2005-01-14T09:11:49:175,86.5,10.042,0,0
2005-01-14T09:11:49:425,86.75,10.042,0,0
2005-01-14T09:11:49:675,87,10.042,0,0
2005-01-14T09:11:49:925,87.25,10.042,0,0
2005-01-14T09:11:50:175,87.5,10.042,0,0
2005-01-14T09:11:50:425,87.75,10.042,0,0
2005-01-14T09:11:50:675,88,10.042,0,0
2005-01-14T09:11:50:925,88.25,10.042,0,0
2005-01-14T09:11:51:175,88.5,10.042,0,0
2005-01-14T09:11:51:425,88.75,10.042,0,0
2005-01-14T09:11:51:675,89,10.042,0,0
2005-01-14T09:11:51:925,89.25,10.042,0,0
2005-01-14T09:11:52:175,89.5,10.042,0,0
2005-01-14T09:11:52:425,89.75,10.042,0,0
2005-01-14T09:11:52:675,90,10.042,0,0
2005-01-14T09:11:52:925,90.25,10.042,0,0
2005-01-14T09:11:53:175,90.5,10.042,0,0
2005-01-14T09:11:53:425,90.75,10.042,0,0
2005-01-14T09:11:53:675,91,10.042,0,0
2005-01-14T09:11:53:925,91.25,10.042,0,0
2005-01-14T09:11:54:175,91.5,10.042,0,0
2005-01-14T09:11:54:425,91.75,10.042,0,0
2005-01-14T09:11:54:675,92,10.042,0,0
2005-01-14T09:11:54:925,92.25,10.042,0,0
2005-01-14T09:11:55:175,92.5,10.042,0,0
2005-01-14T09:11:55:425,92.75,10.042,0,0
2005-01-14T09:11:55:675,93,10.042,0,0
2005-01-14T09:11:55:925,93.25,10.042,0,0
2005-01-14T09:11:56:175,93.5,10.042,0,0
2005-01-14T09:11:56:425,93.75,10.042,0,0
2005-01-14T09:11:56:675,94,10.042,0,0
2005-01-14T09:11:56:925,94.25,10.042,0,0
2005-01-14T09:11:57:175,94.5,10.042,0,0
2005-01-14T09:11:57:425,94.75,10.042,0,0
2005-01-14T09:11:57:675,95,10.042,0,0
2005-01-14T09:11:57:925,95.25,10.042,0,0
2005-01-14T09:11:58:175,95.5,10.042,0,0
2005-01-14T09:11:58:425,95.75,10.042,0,0
2005-01-14T09:11:58:675,96,10.042,0,0
2005-01-14T09:11:58:925,96.25,10.042,0,0
2005-01-14T09:11:59:175,96.5,10.042,0,0
2005-01-14T09:11:59:425,96.75,10.042,0,0
2005-01-14T09:11:59:675,97,10.042,0,0
2005-01-14T09:11:59:925,97.25,10.042,0,0
2005-01-14T09:12:00:175,97.5,10.042,0,0
2005-01-14T09:12:00:425,97.75,10.042,0,0
2005-01-14T09:12:00:675,98,10.042,0,0
2005-01-14T09:12:00:925,98.25,10.042,0,0
2005-01-14T09:12:01:175,98.5,10.042,0,0
2005-01-14T09:12:01:425,98.75,10.042,0,0
2005-01-14T09:12:01:675,99,10.042,0,0
2005-01-14T09:12:01:925,99.25,10.042,0,0
2005-01-14T09:12:02:175,99.5,10.042,0,0
2005-01-14T09:12:02:425,99.75,10.042,0,0
2005-01-14T09:12:02:675,100,10.042,0,0
2005-01-14T09:12:02:925,100.25,10.042,0,0
2005-01-14T09:12:03:175,100.5,10.042,0,0
2005-01-14T09:12:03:425,100.75,10.042,0,0
2005-01-14T09:12:03:675,101,10.042,0,0
2005-01-14T09:12:03:925,101.25,10.042,0,0
2005-01-14T09:12:04:175,101.5,10.042,0,0
2005-01-14T09:12:04:425,101.75,10.042,0,0
2005-01-14T09:12:04:675,102,10.042,0,0
2005-01-14T09:12:04:925,102.25,10.042,0,0
2005-01-14T09:12:05:175,102.5,10.042,0,0
2005-01-14T09:12:05:425,102.75,10.042,0,0
2005-01-14T09:12:05:675,103,10.042,0,0
2005-01-14T09:12:05:925,103.25,10.042,0,0
2005-01-14T09:12:06:175,103.5,10.042,0,0
2005-01-14T09:12:06:425,103.75,10.042,0,0
2005-01-14T09:12:06:675,104,10.042,0,0
2005-01-14T09:12:06:925,104.25,10.042,0,0
2005-01-14T09:12:07:175,104.5,10.042,0,0
2005-01-14T09:12:07:425,104.75,10.042,0,0
2005-01-14T09:12:07:675,105,10.042,0,0
2005-01-14T09:12:07:925,105.25,10.042,0,0
2005-01-14T09:12:08:175,105.5,10.042,0,0
2005-01-14T09:12:08:425,105.75,10.042,0,0
2005-01-14T09:12:08:675,106,10.042,0,0
2005-01-14T09:12:08:925,106.25,10.042,0,0
2005-01-14T09:12:09:175,106.5,10.042,0,0
2005-01-14T09:12:09:425,106.75,10.042,0,0
2005-01-14T09:12:09:675,107,10.042,0,0
2005-01-14T09:12:09:925,107.25,10.042,0,0
2005-01-14T09:12:10:175,107.5,10.042,0,0
2005-01-14T09:12:10:425,107.75,10.042,0,0
2005-01-14T09:12:10:675,108,10.042,0,0
2005-01-14T09:12:10:925,108.25,10.042,0,0
2005-01-14T09:12:11:175,108.5,10.042,0,0
2005-01-14T09:12:11:425,108.75,10.042,0,0
2005-01-14T09:12:11:675,109,10.042,0,0
2005-01-14T09:12:11:925,109.25,10.042,0,0
2005-01-14T09:12:12:175,109.5,10.042,0,0
2005-01-14T09:12:12:425,109.75,10.042,0,0
2005-01-14T09:12:12:675,110,10.042,0,0
2005-01-14T09:12:12:925,110.25,10.042,0,0
2005-01-14T09:12:13:175,110.5,10.042,0,0
2005-01-14T09:12:13:425,110.75,10.042,0,0
2005-01-14T09:12:13:675,111,10.042,0,0
2005-01-14T09:12:13:925,111.25,10.042,0,0
2005-01-14T09:12:14:175,111.5,10.042,0,0
2005-01-14T09:12:14:425,111.75,10.042,0,0
2005-01-14T09:12:14:675,112,10.042,0,0
2005-01-14T09:12:14:925,112.25,10.042,0,0
2005-01-14T09:12:15:175,112.5,10.042,0,0
2005-01-14T09:12:15:425,112.75,10.042,0,0
2005-01-14T09:12:15:675,113,10.042,0,0
2005-01-14T09:12:15:925,113.25,10.042,0,0
2005-01-14T09:12:16:175,113.5,10.042,0,0
2005-01-14T09:12:16:425,113.75,10.042,0,0
2005-01-14T09:12:16:675,114,10.042,0,0
2005-01-14T09:12:16:925,114.25,10.042,0,0
2005-01-14T09:12:17:175,114.5,10.042,0,0
2005-01-14T09:12:17:425,114.75,10.042,0,0
2005-01-14T09:12:17:675,115,10.042,0,0
2005-01-14T09:12:17:925,115.25,10.042,0,0
2005-01-14T09:12:18:175,115.5,10.042,0,0
2005-01-14T09:12:18:425,115.75,10.042,0,0
2005-01-14T09:12:18:675,116,10.042,0,0
2005-01-14T09:12:18:925,116.25,10.042,0,0
2005-01-14T09:12:19:175,116.5,10.042,0,0
2005-01-14T09:12:19:425,116.75,10.042,0,0
2005-01-14T09:12:19:675,117,10.042,0,0
2005-01-14T09:12:19:925,117.25,10.042,0,0
2005-01-14T09:12:20:175,117.5,10.042,0,0
2005-01-14T09:12:20:425,117.75,10.042,0,0
2005-01-14T09:12:20:675,118,10.042,0,0
2005-01-14T09:12:20:925,118.25,10.042,0,0
2005-01-14T09:12:21:175,118.5,10.042,0,0
2005-01-14T09:12:21:425,118.75,10.042,0,0
2005-01-14T09:12:21:675,119,10.042,0,0
2005-01-14T09:12:21:925,119.25,10.042,0,0
2005-01-14T09:12:22:175,119.5,10.042,0,0
2005-01-14T09:12:22:425,119.75,10.042,0,0
2005-01-14T09:12:22:675,120,10.042,0,0
2005-01-14T09:12:22:925,120.25,10.042,0,0
2005-01-14T09:12:23:175,120.5,10.042,0,0
2005-01-14T09:12:23:425,120.75,10.042,0,0
2005-01-14T09:12:23:675,121,10.042,0,0
2005-01-14T09:12:23:925,121.25,10.042,0,0
2005-01-14T09:12:24:175,121.5,10.042,0,0
2005-01-14T09:12:24:425,121.75,10.042,0,0
2005-01-14T09:12:24:675,122,10.042,0,0
2005-01-14T09:12:24:925,122.25,10.042,0,0
2005-01-14T09:12:25:175,122.5,10.042,0,0
2005-01-14T09:12:25:425,122.75,10.042,0,0
2005-01-14T09:12:25:675,123,10.042,0,0
2005-01-14T09:12:25:925,123.25,10.042,0,0
2005-01-14T09:12:26:175,123.5,10.042,0,0
2005-01-14T09:12:26:425,123.75,10.042,0,0
2005-01-14T09:12:26:675,124,10.042,0,0
2005-01-14T09:12:26:925,124.25,10.042,0,0
2005-01-14T09:12:27:175,124.5,10.042,0,0
2005-01-14T09:12:27:425,124.75,10.042,0,0
2005-01-14T09:12:27:675,125,10.042,0,0
2005-01-14T09:12:27:925,125.25,10.042,0,0
2005-01-14T09:12:28:175,125.5,10.042,0,0
2005-01-14T09:12:28:425,125.75,10.042,0,0
2005-01-14T09:12:28:675,126,10.042,0,0
2005-01-14T09:12:28:925,126.25,10.042,0,0
2005-01-14T09:12:29:175,126.5,10.042,0,0
2005-01-14T09:12:29:425,126.75,10.042,0,0
2005-01-14T09:12:29:675,127,10.042,0,0
2005-01-14T09:12:29:925,127.25,10.042,0,0
2005-01-14T09:12:30:175,127.5,10.042,0,0
2005-01-14T09:12:30:425,127.75,10.042,0,0
2005-01-14T09:12:30:675,128,10.042,0,0
2005-01-14T09:12:30:925,128.25,10.042,0,0
2005-01-14T09:12:31:175,128.5,10.042,0,0
2005-01-14T09:12:31:425,128.75,10.042,0,0
2005-01-14T09:12:31:675,129,10.042,0,0
2005-01-14T09:12:31:925,129.25,10.042,0,0
2005-01-14T09:12:32:175,129.5,10.042,0,0
2005-01-14T09:12:32:425,129.75,10.042,0,0
2005-01-14T09:12:32:675,130,10.042,0,0
2005-01-14T09:12:32:925,130.25,10.042,0,0
2005-01-14T09:12:33:175,130.5,10.042,0,0
2005-01-14T09:12:33:425,130.75,10.042,0,0
2005-01-14T09:12:33:675,131,10.042,0,0
2005-01-14T09:12:33:925,131.25,10.042,0,0
2005-01-14T09:12:34:175,131.5,10.042,0,0
2005-01-14T09:12:34:425,131.75,10.042,0,0
2005-01-14T09:12:34:675,132,10.042,0,0
2005-01-14T09:12:34:925,132.25,10.042,0,0
2005-01-14T09:12:35:175,132.5,10.042,0,0
2005-01-14T09:12:35:425,132.75,10.042,0,0
2005-01-14T09:12:35:675,133,10.042,0,0
2005-01-14T09:12:35:925,133.25,10.042,0,0
2005-01-14T09:12:36:175,133.5,10.042,0,0
2005-01-14T09:12:36:425,133.75,10.042,0,0
2005-01-14T09:12:36:675,134,10.042,0,0
2005-01-14T09:12:36:925,134.25,10.042,0,0
2005-01-14T09:12:37:175,134.5,10.042,0,0
2005-01-14T09:12:37:425,134.75,10.042,0,0
2005-01-14T09:12:37:675,135,10.042,0,0
2005-01-14T09:12:37:925,135.25,10.042,0,0
2005-01-14T09:12:38:175,135.5,10.042,0,0
2005-01-14T09:12:38:425,135.75,10.042,0,0
2005-01-14T09:12:38:675,136,10.042,0,0
2005-01-14T09:12:38:925,136.25,10.042,0,0
2005-01-14T09:12:39:175,136.5,10.042,0,0
2005-01-14T09:12:39:425,136.75,10.042,0,0
2005-01-14T09:12:39:675,137,10.042,0,0
2005-01-14T09:12:39:925,137.25,10.042,0,0
2005-01-14T09:12:40:175,137.5,10.042,0,0
2005-01-14T09:12:40:425,137.75,10.042,0,0
2005-01-14T09:12:40:675,138,10.042,0,0
2005-01-14T09:12:40:925,138.25,10.042,0,0
2005-01-14T09:12:41:175,138.5,10.042,0,0
2005-01-14T09:12:41:425,138.75,10.042,0,0
2005-01-14T09:12:41:675,139,10.042,0,0
2005-01-14T09:12:41:925,139.25,10.042,0,0
2005-01-14T09:12:42:175,139.5,10.042,0,0
2005-01-14T09:12:42:425,139.75,10.042,0,0
2005-01-14T09:12:42:675,140,10.042,0,0
2005-01-14T09:12:42:925,140.25,10.042,0,0
2005-01-14T09:12:43:175,140.5,10.042,0,0
2005-01-14T09:12:43:425,140.75,10.042,0,0
2005-01-14T09:12:43:675,141,10.042,0,0
2005-01-14T09:12:43:925,141.25,10.042,0,0
2005-01-14T09:12:44:175,141.5,10.042,0,0
2005-01-14T09:12:44:425,141.75,10.042,0,0
2005-01-14T09:12:44:675,142,10.042,0,0
2005-01-14T09:12:44:925,142.25,10.042,0,0
2005-01-14T09:12:45:175,142.5,10.042,0,0
2005-01-14T09:12:45:425,142.75,10.042,0,0
2005-01-14T09:12:45:675,143,10.042,0,0
2005-01-14T09:12:45:925,143.25,10.042,0,0
2005-01-14T09:12:46:175,143.5,10.042,0,0
2005-01-14T09:12:46:425,143.75,10.042,0,0
2005-01-14T09:12:46:675,144,10.042,0,0
2005-01-14T09:12:46:925,144.25,10.042,0,0
2005-01-14T09:12:47:175,144.5,10.042,0,0
2005-01-14T09:12:47:425,144.75,10.042,0,0
2005-01-14T09:12:47:675,145,10.042,0,0
2005-01-14T09:12:47:925,145.25,10.042,0,0
2005-01-14T09:12:48:175,145.5,10.042,0,0
2005-01-14T09:12:48:425,145.75,10.042,0,0
2005-01-14T09:12:48:675,146,10.042,0,0
2005-01-14T09:12:48:925,146.25,10.042,0,0
2005-01-14T09:12:49:175,146.5,10.042,0,0
2005-01-14T09:12:49:425,146.75,10.042,0,0
2005-01-14T09:12:49:675,147,10.042,0,0
2005-01-14T09:12:49:925,147.25,10.042,0,0
2005-01-14T09:12:50:175,147.5,10.042,0,0
2005-01-14T09:12:50:425,147.75,10.042,0,0
2005-01-14T09:12:50:675,148,10.042,0,0
2005-01-14T09:12:50:925,148.25,10.042,0,0
2005-01-14T09:12:51:175,148.5,10.042,0,0
2005-01-14T09:12:51:425,148.75,10.042,0,0
2005-01-14T09:12:51:675,149,10.042,0,0
2005-01-14T09:12:51:925,149.25,10.042,0,0
2005-01-14T09:12:52:175,149.5,10.042,0,0
2005-01-14T09:12:52:425,149.75,10.042,0,0
2005-01-14T09:12:52:675,150,10.042,0,0
2005-01-14T09:12:52:925,150.25,10.042,0,0
2005-01-14T09:12:53:175,150.5,10.042,0,0
2005-01-14T09:12:53:425,150.75,10.042,0,0
2005-01-14T09:12:53:675,151,10.042,0,0
2005-01-14T09:12:53:925,151.25,10.042,0,0
2005-01-14T09:12:54:175,151.5,10.042,0,0
2005-01-14T09:12:54:425,151.75,10.042,0,0
2005-01-14T09:12:54:675,152,10.042,0,0
2005-01-14T09:12:54:925,152.25,10.042,0,0
2005-01-14T09:12:55:175,152.5,10.042,0,0
2005-01-14T09:12:55:425,152.75,10.042,0,0
2005-01-14T09:12:55:675,153,10.042,0,0
2005-01-14T09:12:55:925,153.25,10.042,0,0
2005-01-14T09:12:56:175,153.5,10.042,0,0
2005-01-14T09:12:56:425,153.75,10.042,0,0
2005-01-14T09:12:56:675,154,10.042,0,0
2005-01-14T09:12:56:925,154.25,10.042,0,0
2005-01-14T09:12:57:175,154.5,10.042,0,0
2005-01-14T09:12:57:425,154.75,10.042,0,0
2005-01-14T09:12:57:675,155,10.042,0,0
2005-01-14T09:12:57:925,155.25,10.042,0,0
2005-01-14T09:12:58:175,155.5,10.042,0,0
2005-01-14T09:12:58:425,155.75,10.042,0,0
2005-01-14T09:12:58:675,156,10.042,0,0
2005-01-14T09:12:58:925,156.25,10.042,0,0
2005-01-14T09:12:59:175,156.5,10.042,0,0
2005-01-14T09:12:59:425,156.75,10.042,0,0
2005-01-14T09:12:59:675,157,10.042,0,0
2005-01-14T09:12:59:925,157.25,10.042,0,0
2005-01-14T09:13:00:175,157.5,10.042,0,0
2005-01-14T09:13:00:425,157.75,10.042,0,0
2005-01-14T09:13:00:675,158,10.042,0,0
2005-01-14T09:13:00:925,158.25,10.042,0,0
2005-01-14T09:13:01:175,158.5,10.042,0,0
2005-01-14T09:13:01:425,158.75,10.042,0,0
2005-01-14T09:13:01:675,159,10.042,0,0
2005-01-14T09:13:01:925,159.25,10.042,0,0
2005-01-14T09:13:02:175,159.5,10.042,0,0
2005-01-14T09:13:02:425,159.75,10.042,0,0
2005-01-14T09:13:02:675,160,10.042,0,0
2005-01-14T09:13:02:925,160.25,10.042,0,0
2005-01-14T09:13:03:175,160.5,10.042,0,0
2005-01-14T09:13:03:425,160.75,10.042,0,0
2005-01-14T09:13:03:675,161,10.042,0,0
2005-01-14T09:13:03:925,161.25,10.042,0,0
2005-01-14T09:13:04:175,161.5,10.042,0,0
2005-01-14T09:13:04:425,161.75,10.042,0,0
2005-01-14T09:13:04:675,162,10.042,0,0
2005-01-14T09:13:04:925,162.25,10.042,0,0
2005-01-14T09:13:05:175,162.5,10.042,0,0
2005-01-14T09:13:05:425,162.75,10.042,0,0
2005-01-14T09:13:05:675,163,10.042,0,0
2005-01-14T09:13:05:925,163.25,10.042,0,0
2005-01-14T09:13:06:175,163.5,10.042,0,0
2005-01-14T09:13:06:425,163.75,10.042,0,0
2005-01-14T09:13:06:675,164,10.042,0,0
2005-01-14T09:13:06:925,164.25,10.042,0,0
2005-01-14T09:13:07:175,164.5,10.042,0,0
2005-01-14T09:13:07:425,164.75,10.042,0,0
2005-01-14T09:13:07:675,165,10.042,0,0
2005-01-14T09:13:07:925,165.25,10.042,0,0
2005-01-14T09:13:08:175,165.5,10.042,0,0
2005-01-14T09:13:08:425,165.75,10.042,0,0
2005-01-14T09:13:08:675,166,10.042,0,0
2005-01-14T09:13:08:925,166.25,10.042,0,0
